title,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!,Learning at the speed of business,Globant Acquires L4 to Strengthen its Lead Position in the Digital Services Space,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,These gloves can convert sign language into spoken English
Request lesson : How and when to use はず(=hazu) | Maggie Sensei,Japanese for dummies,Como são escrita as risadas em japonês? - Suki Desu,Portugal runs for four days straight on renewable energy alone,Mycroft: The open source answer to natural language platforms,Design Patterns: Progressive Disclosure for Mobile Apps
"STEMTera, uma protoboard com Arduino Uno embutido",Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,Aprendizado de máquina do Google pode detectar retinopatia diabética | Google Discovery,Curso mbed na KL25Z - Primeiros passos - Embarcados,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Nova pulseira tecnológica avisa se você já bebeu demais
Chrome OS now has Material Design for the desktop,Elastic Stack 5.0.0 Released,Google's Hangouts still has a future: as an enterprise communication app,Google is quietly making progress on one of its most jaw-dropping tech projects,"Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br","Hello, a nova rede social do Orkut, está liberada no Brasil"
Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,Bolinho de parmesão,"Agility in the Cloud: Which ""As a Service"" Works for You?",Perfect Menu for Mobile Apps - UX Planet,Writing good code: how to reduce the cognitive load of your code,Today in Apple history: Steve Jobs passes away | Cult of Mac
Livraria dá adeus a estoque e imprime livros na hora,Cognitive Services-Intelligence Applications | Microsoft Azure,Microsoft's new online certification program kicks off with data science specialization | ZDNet,Unilever Buys Dollar Shave Club for $1 Billion,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,AI Revolution 101 - AI Revolution
Críticas de design: dizendo as coisas que precisam ser ditas,O tênue equilíbrio da equipe que desenha produtos digitais,#FinTech is all about human-centred design - Chris Skinner's blog,Chatbots: Are they better without the chat?,How Mature is Your Organization when it Comes to UX?,Sete Reinos
"Apple's new file manager, APFS, is awesome",A New Number Format for Computers Could Nuke Approximation Errors for Good,Shutter Island (2010),CSS Containment in Chrome 52 | Web Updates - Google Developers,The End Of Apple Man,19 Tips For Everyday Git Use
Confirmed: Walmart buys Jet.com for $3B in cash,Nintendo has doubled in value since Pokémon Go's release,How enterprise architects can help ensure success with digital transformations,The Internet of Things is looking for its VisiCalc,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Optimize Your Agile Growth Strategy with Cloud
Clarifying the uses of artificial intelligence in the enterprise,The return of the machinery question,Artificial Intelligence's White Guy Problem,CrowdFlower raises $10 million from Microsoft and others to bring AI to data science,"Introducing Cloud Natural Language API, Speech API open beta and our West Coast region expansion",7 Questions to Ask Before Your Next Digital Transformation
"contentId
-9102431381393428051    How Leaders Can Let Go Without Losing Control
-9102431381393428051    How Leaders Can Let Go Without Losing Control
Name: title, dtype: object",4 Reasons Managers Should Spend More Time on Coaching,Changing change management,Lean IT is all about people - o Lean na TI é focado em pessoas,[Retro] Celebration Grids - Management 3.0,O que você deve fazer para se tornar um líder melhor?
OpenBazaar is Open for Business,Making open source data more available,Plug the Fathom Neural Compute Stick into any USB device to make it smarter,Shopping app Spring's redesign could be a game-changer,"Blockchain open sources Thunder network, paving the way for instant bitcoin transactions",Wells Fargo to Verify Customers through Eye Prints
We are on the verge of a consumer M&A avalanche,The Competitive Landscape for Machine Intelligence,Understanding the Twitter topic Tracker,Innovation is in all the wrong places,Why Steve Jobs Was Proud to Steal Ideas,2016 will be the year of conversational commerce - Chris Messina
Drupal How-To: Responsive or Adaptive Images? | Acquia,Docker Online Meetup #46: Introduction to InfraKit - Docker Blog,"Lava-louças Brastemp Ative! 8 Serviços Blf08abana 110v - R$ 800,00",Introducing Style Detection for Google Cloud Vision API,Novo padrão de rede cabeada pode oferecer até 5 Gbps transferência de dados,Containers are not VMs
Fábio Prado - Overview sobre índices - DBA Brasil 1.0,NoSQL Performance Benchmarks,Gartner Reprint,SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship,Gartner Reprint,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets
Number plate recognition with Tensorflow,Conversational Banking; from branches to bots. - Chatbots Magazine,New Sessions Added To Google I/O 2016 Schedule,Deep learning software knows that a rose is a rose is a rosa rubiginosa,"Apple acquires Turi, a machine learning company",Exclusive: Why Microsoft is betting its future on AI
Stackdriver Trace for App Engine is GA; app latency has nowhere to hide,Announcing .NET Core 1.0,"Microservices Reference Architecture, Part 4 -12‑Factor App",Beyond Progressive Web Apps Part 1,Chrome DevTools - Console API Reference,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC
Acquia Engage 2016: Day One,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),Bringing Pokémon GO to life on Google Cloud,Meet Aquifer: A build system for easier Drupal development,A plan for media management in Drupal 8,Drupal 8.1.0 is now available
Accept questions from your audience when presenting in Google Slides,7 lessons about finding the work you were meant to do,Joel on Software,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",Ordering coffee in Italy: the 10 commandments,Staying one step ahead at Pixar: An interview with Ed Catmull
Apple's secret strategy: Underpromise and overdeliver,How Apple Keyboards Lost a Logo and Windows PCs Gained One,A Baseline for Hybrid Mobile Developers,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js,CSS Containment in Chrome 52 | Web Updates - Google Developers
Concurso Literário Leia Mulheres + Sweek | Sweek,Promoting gender equality through emoji �� ��,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia","Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",How to Override Features
Google's Cloud Machine Learning service is now in public beta,The emerging Darwinian approach to analytics and augmented intelligence,Graph-powered Machine Learning at Google,Services | RaRe Technologies,Machine Learning Is No Longer Just for Experts,Exclusive: Why Microsoft is betting its future on AI
Xamarin for Everyone,Modelando APIs REST com Swagger,The Ultimate Solution to Versioning REST APIs: Content Negotiation,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",Desenvolvimento Efetivo na Plataforma Microsoft: o livro.,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog
